match,date,team,player,card_type,minute,discipline_score
MEX vs RSA,"June 11, 2026",MEX,César Montes,Red,90+2,-5
MEX vs RSA,"June 11, 2026",MEX,Brian Gutiérrez,Yellow,23,-5
MEX vs RSA,"June 11, 2026",MEX,Nkosinathi Sibisi,Yellow,74,-5
MEX vs RSA,"June 11, 2026",MEX,Sphephelo Sithole,Red,49,-5
MEX vs RSA,"June 11, 2026",MEX,Teboho Mokoena,Yellow,17,-5
MEX vs RSA,"June 11, 2026",MEX,Themba Zwane,Red,84,-5
,"June 11, 2026",KOR,Lee Gi-hyuk,Yellow,90+6,0
CAN vs BIH,"June 12, 2026",CAN,Alistair Johnston,Yellow,11,-2
CAN vs BIH,"June 12, 2026",CAN,Luc de Fougerolles,Yellow,53,-2
CAN vs BIH,"June 12, 2026",CAN,Nikola Katić,Yellow,90+3,-2
CAN vs BIH,"June 12, 2026",CAN,Ermedin Demirović,Yellow,44,-2
CAN vs BIH,"June 12, 2026",CAN,Jovo Lukić,Yellow,45+1,-2
,"June 13, 2026",QAT,Mahmud Abunada,Yellow,14,0
,"June 13, 2026",QAT,Jassem Gaber,Yellow,23,0
,"June 13, 2026",SUI,Denis Zakaria,Yellow,42,0
,"June 12, 2026",USA,Tyler Adams,Yellow,59,0
,"June 12, 2026",PAR,Juan José Cáceres,Yellow,9,0
,"June 12, 2026",PAR,Júnior Alonso,Yellow,90+3,0
,"June 12, 2026",PAR,Diego Gómez,Yellow,79,0
,"June 12, 2026",PAR,Miguel Almirón,Yellow,53,0
,"June 12, 2026",PAR,Álex Arce,Yellow,88,0
,"June 13, 2026",TUR,Yunus Akgün,Yellow,86,0
